,Date,Kp_max,Kp,Ap,C9,Rz,SFU
301,2004-10-28,1.3333333333333333,4.333333333333333,2,0,96,131.6
302,2004-10-29,3.0,12.0,6,1,89,127.0
303,2004-10-30,4.0,25.0,17,4,96,134.4
304,2004-10-31,3.3333333333333335,20.666666666666668,12,3,91,137.1
305,2004-11-01,3.0,10.333333333333334,5,1,76,133.4
306,2004-11-02,1.6666666666666667,9.0,4,0,74,131.0
307,2004-11-03,4.333333333333333,15.666666666666666,10,3,67,133.7
308,2004-11-04,3.0,16.333333333333332,8,2,58,133.7
309,2004-11-05,3.0,6.0,4,0,55,138.8
310,2004-11-06,0.6666666666666666,1.3333333333333333,1,0,62,126.5
311,2004-11-07,8.0,30.666666666666668,50,7,63,127.2
312,2004-11-08,8.666666666666666,50.0,140,8,57,121.7
313,2004-11-09,8.666666666666666,52.0,119,8,52,138.1
314,2004-11-10,8.666666666666666,56.333333333333336,161,9,32,102.6
315,2004-11-11,5.0,29.0,24,6,38,93.0
316,2004-11-12,4.666666666666667,33.333333333333336,30,6,38,95.4
317,2004-11-13,2.3333333333333335,14.666666666666666,7,1,42,94.4
318,2004-11-14,4.0,13.666666666666666,8,2,48,98.1
319,2004-11-15,0.6666666666666666,2.3333333333333335,2,0,44,103.3
320,2004-11-16,2.6666666666666665,14.666666666666666,7,2,41,106.0
321,2004-11-17,3.0,10.0,6,1,41,102.5
322,2004-11-18,1.0,2.6666666666666665,2,0,38,101.6
323,2004-11-19,2.3333333333333335,7.333333333333333,4,0,35,99.8
324,2004-11-20,4.0,27.333333333333332,20,5,33,96.9
325,2004-11-21,4.0,25.0,17,4,26,98.5
326,2004-11-22,3.0,14.666666666666666,8,2,29,103.7
327,2004-11-23,2.3333333333333335,12.0,6,1,28,104.2
328,2004-11-24,3.0,16.666666666666668,8,2,34,104.5
329,2004-11-25,4.333333333333333,27.0,20,5,34,106.6
330,2004-11-26,3.6666666666666665,20.666666666666668,12,3,34,108.2
331,2004-11-27,3.6666666666666665,19.0,11,3,37,107.4
332,2004-11-28,3.6666666666666665,21.666666666666668,13,3,29,109.8
333,2004-11-29,4.0,25.333333333333332,17,4,28,108.4
334,2004-11-30,4.0,25.333333333333332,18,5,32,107.5
335,2004-12-01,4.0,19.0,12,3,32,107.8
336,2004-12-02,1.6666666666666667,7.0,4,0,29,102.6
337,2004-12-03,1.0,5.0,3,0,30,97.9
338,2004-12-04,0.0,0.0,0,0,26,94.6
339,2004-12-05,4.333333333333333,14.666666666666666,9,2,29,93.1
340,2004-12-06,4.333333333333333,27.666666666666668,20,5,24,90.4
341,2004-12-07,3.6666666666666665,23.666666666666668,15,4,9,87.1
342,2004-12-08,3.3333333333333335,20.0,11,3,15,93.6
343,2004-12-09,2.6666666666666665,15.333333333333334,8,2,13,84.7
344,2004-12-10,3.0,19.0,10,2,15,82.3
345,2004-12-11,4.333333333333333,20.666666666666668,15,4,13,87.1
346,2004-12-12,5.333333333333333,31.333333333333332,28,6,22,87.7
347,2004-12-13,4.333333333333333,14.333333333333334,10,3,16,87.0
348,2004-12-14,2.3333333333333335,14.0,7,1,14,86.5
349,2004-12-15,2.3333333333333335,12.666666666666666,6,1,8,86.5
350,2004-12-16,4.0,20.666666666666668,13,4,10,87.2
351,2004-12-17,4.0,25.0,16,4,24,87.1
352,2004-12-18,4.333333333333333,20.0,13,3,21,87.7
353,2004-12-19,1.3333333333333333,5.0,3,0,12,90.9
354,2004-12-20,2.3333333333333335,8.333333333333334,4,0,11,90.9
355,2004-12-21,4.333333333333333,19.666666666666668,12,3,15,97.7
356,2004-12-22,4.333333333333333,26.333333333333332,20,5,26,95.6
357,2004-12-23,2.3333333333333335,13.666666666666666,6,1,18,93.2
358,2004-12-24,2.0,6.333333333333333,3,0,22,94.0
359,2004-12-25,4.0,21.666666666666668,14,4,12,90.0
360,2004-12-26,3.0,19.666666666666668,11,3,10,88.7
361,2004-12-27,2.6666666666666665,15.666666666666666,8,2,10,93.7
362,2004-12-28,4.666666666666667,23.666666666666668,16,4,17,101.7
363,2004-12-29,4.333333333333333,23.666666666666668,16,4,12,95.3
364,2004-12-30,4.666666666666667,25.666666666666668,18,5,20,96.7
365,2004-12-31,2.6666666666666665,14.333333333333334,7,1,22,95.2
