DATE,price
2019/6/25,1429.55
2019/6/26,1406.75
2019/6/27,1402.25
2019/6/28,1413.2
2019/7/1,1390.05
2019/7/2,1393.1
2019/7/3,1425.1
2019/7/4,1415.25
2019/7/5,1414.4
2019/7/8,1404.9
2019/7/9,1387.9
2019/7/10,1395.45
2019/7/11,1423.1
2019/7/12,1405.6
2019/7/15,1416.25
2019/7/16,1416.1
2019/7/17,1400.8
2019/7/18,1420.9
2019/7/19,1437.05
2019/7/22,1424.45
2019/7/23,1417.55
2019/7/24,1425.55
2019/7/25,1426.35
2019/7/26,1418.25
2019/7/29,1418.95
2019/7/30,1428.45
2019/7/31,1430.55
2019/8/1,1406.4
2019/8/2,1436.05
2019/8/5,1457.45
2019/8/6,1461.85
2019/8/7,1487.65
2019/8/8,1497.4
2019/8/9,1503.5
2019/8/12,1501.95
2019/8/13,1527.2
2019/8/14,1500.35
2019/8/15,1517.65
2019/8/16,1509.05
2019/8/19,1499.35
2019/8/20,1502.65
2019/8/21,1499.65
2019/8/22,1498.7
2019/8/23,1495.5
2019/8/27,1531.85
2019/8/28,1541.75
2019/8/29,1536.65
2019/8/30,1526.55
2019/9/2,1523.35
2019/9/3,1532.45
2019/9/4,1538.8
